w_time_s	WL_set	Mon	Brewer	BrewerDark	Brewer_dk	NLK	Brewer_dk_NL	BrewNL_Mon	Brewermicrom	Peak_steps	FWHM_steps	slit	mwl
3536882002	325.00052574369	8.670036e-07	7393	342	1762.75	1.0996256678972	1938.3651460858	2235705994.8606	4950	4882.3128890259	80.760269655825	2	325.4824142195
3536882009	325.00052574369	8.661688e-07	10100	342	2439.5	1.2532496759995	3057.3025846008	3529684496.3717	4945	4882.3128890259	80.760269655825	2	325.448160089595
3536882016	325.00052574369	8.74482e-07	13039	342	3174.25	1.3500928337072	4285.5321773951	4900652246.0098	4940	4882.3128890259	80.760269655825	2	325.41390213208
3536882023	325.00052574369	8.743027e-07	16029	342	3921.75	1.4192948997996	5566.1197732892	6366353178.6979	4935	4882.3128890259	80.760269655825	2	325.379640346955
3536882030	325.00052574369	8.709255e-07	19270	342	4732	1.4737116582071	6973.6035666359	8007118366.193	4930	4882.3128890259	80.760269655825	2	325.34537473422
3536882037	325.00052574369	8.713378e-07	22218	342	5469	1.5086560558125	8250.8399692384	9469163359.1913	4925	4882.3128890259	80.760269655825	2	325.311105293875
3536882044	325.00052574369	8.698541e-07	24925	342	6145.75	1.5332865386582	9423.1957449588	10833076196.294	4920	4882.3128890259	80.760269655825	2	325.27683202592
3536882052	325.00052574369	8.678934e-07	27555	342	6803.25	1.5547892523633	10577.619981141	12187694918.686	4915	4882.3128890259	80.760269655825	2	325.242554930355
3536882059	325.00052574369	8.638146e-07	30772	342	7607.5	1.5818788992947	12034.143726384	13931396536.229	4910	4882.3128890259	80.760269655825	2	325.20827400718
3536882066	325.00052574369	8.750925e-07	33527	342	8296.25	1.6069028708635	13331.267942401	15234124326.744	4905	4882.3128890259	80.760269655825	2	325.173989256395
3536882073	325.00052574369	8.69097e-07	36811	342	9117.25	1.6382086544872	14935.957855123	17185605122.47	4900	4882.3128890259	80.760269655825	2	325.139700678
3536882080	325.00052574369	8.707826e-07	38757	342	9603.75	1.657007532443	15913.4860897	18274924291.895	4895	4882.3128890259	80.760269655825	2	325.105408271995
