date_matlab year month day hour min seg Solar_Zenith_angle(º) Total_Column_O3total(E18mole/cm-2) 
736595.451810 2016.000000 9.000000 22.000000 10.000000 50.000000 36.384003 41.641998 7.650900 
736595.465530 2016.000000 9.000000 22.000000 11.000000 10.000000 21.792000 38.311001 7.645600 
736595.472410 2016.000000 9.000000 22.000000 11.000000 20.000000 16.223999 36.756001 7.642900 
736595.479270 2016.000000 9.000000 22.000000 11.000000 30.000000 8.928001 35.292999 7.644800 
736595.486150 2016.000000 9.000000 22.000000 11.000000 40.000000 3.360001 33.929001 7.649900 
736595.493010 2016.000000 9.000000 22.000000 11.000000 49.000000 56.064003 32.682999 7.654800 
736595.503820 2016.000000 9.000000 22.000000 12.000000 5.000000 30.047997 30.983999 7.659300 
736595.537560 2016.000000 9.000000 22.000000 12.000000 54.000000 5.183998 28.299999 7.670000 
736595.626850 2016.000000 9.000000 22.000000 15.000000 2.000000 39.839996 41.048000 7.729600 
736595.633730 2016.000000 9.000000 22.000000 15.000000 12.000000 34.272003 42.792999 7.732100 
736595.640590 2016.000000 9.000000 22.000000 15.000000 22.000000 26.975998 44.591000 7.740300 
736595.647460 2016.000000 9.000000 22.000000 15.000000 32.000000 20.543999 46.442001 7.755500 
736595.654330 2016.000000 9.000000 22.000000 15.000000 42.000000 14.112000 48.333000 7.758900 
736595.661200 2016.000000 9.000000 22.000000 15.000000 52.000000 7.680000 50.264999 7.758800 
736595.668070 2016.000000 9.000000 22.000000 16.000000 2.000000 1.248001 52.228001 7.765900 
736595.674940 2016.000000 9.000000 22.000000 16.000000 11.000000 54.816002 54.223999 7.765500 
736595.681810 2016.000000 9.000000 22.000000 16.000000 21.000000 48.384003 56.243000 7.761200 
736595.716120 2016.000000 9.000000 22.000000 17.000000 11.000000 12.767998 66.636002 7.787700 
736595.723000 2016.000000 9.000000 22.000000 17.000000 21.000000 7.199997 68.763000 7.793000 
736595.729860 2016.000000 9.000000 22.000000 17.000000 30.000000 59.903999 70.897003 7.789600 
736595.736720 2016.000000 9.000000 22.000000 17.000000 40.000000 52.608002 73.040001 7.792300 
736595.743590 2016.000000 9.000000 22.000000 17.000000 50.000000 46.176003 75.191002 7.793500 
736595.750460 2016.000000 9.000000 22.000000 18.000000 0.000000 39.744003 77.352997 7.796000 
736596.465090 2016.000000 9.000000 23.000000 11.000000 9.000000 43.776001 38.653999 7.763000 
736599.328800 2016.000000 9.000000 26.000000 7.000000 53.000000 28.320000 78.346001 7.616200 
736599.335660 2016.000000 9.000000 26.000000 8.000000 3.000000 21.024002 76.195999 7.615700 
736599.342530 2016.000000 9.000000 26.000000 8.000000 13.000000 14.592003 74.051003 7.604100 
736599.349420 2016.000000 9.000000 26.000000 8.000000 23.000000 9.888000 71.911003 7.608200 
736599.356300 2016.000000 9.000000 26.000000 8.000000 33.000000 4.320000 69.785004 7.610800 
736599.363170 2016.000000 9.000000 26.000000 8.000000 42.000000 57.888000 67.670998 7.610400 
736599.370050 2016.000000 9.000000 26.000000 8.000000 52.000000 52.320000 65.570000 7.602100 
736599.376920 2016.000000 9.000000 26.000000 9.000000 2.000000 45.888000 63.485001 7.600500 
736599.383780 2016.000000 9.000000 26.000000 9.000000 12.000000 38.592003 61.419998 7.596700 
736599.390670 2016.000000 9.000000 26.000000 9.000000 22.000000 33.888000 59.368000 7.579800 
736599.397550 2016.000000 9.000000 26.000000 9.000000 32.000000 28.320000 57.341999 7.580600 
736599.404410 2016.000000 9.000000 26.000000 9.000000 42.000000 21.024002 55.344002 7.580300 
736599.411270 2016.000000 9.000000 26.000000 9.000000 52.000000 13.727997 53.373001 7.574400 
736599.418150 2016.000000 9.000000 26.000000 10.000000 2.000000 8.160004 51.430000 7.576200 
736599.425020 2016.000000 9.000000 26.000000 10.000000 12.000000 1.727997 49.522999 7.558500 
736599.441690 2016.000000 9.000000 26.000000 10.000000 36.000000 2.015999 45.076000 7.565900 
736599.468390 2016.000000 9.000000 26.000000 11.000000 14.000000 28.896004 38.659000 7.561000 
736599.508720 2016.000000 9.000000 26.000000 12.000000 12.000000 33.407997 31.684000 7.555200 
736599.557590 2016.000000 9.000000 26.000000 13.000000 22.000000 55.776001 30.483000 7.509600 
736599.696750 2016.000000 9.000000 26.000000 16.000000 43.000000 19.199997 61.859001 7.475900 
736599.703610 2016.000000 9.000000 26.000000 16.000000 53.000000 11.903999 63.928001 7.485600 
736599.710470 2016.000000 9.000000 26.000000 17.000000 3.000000 4.608002 66.014000 7.495700 
736599.717350 2016.000000 9.000000 26.000000 17.000000 12.000000 59.040001 68.119003 7.473400 
736599.744190 2016.000000 9.000000 26.000000 17.000000 51.000000 38.015999 76.447998 7.457700 
736599.751050 2016.000000 9.000000 26.000000 18.000000 1.000000 30.720001 78.599998 7.437300 
736600.319910 2016.000000 9.000000 27.000000 7.000000 40.000000 40.223999 81.253998 7.255700 
