FTIR_setup date(yymmdd) time(hhmmss) juldayhm(ftir) date_matlab RMS/maximum_intensity White_signal-to-noise RMS_residues_fit iterations_convergence Solar_elevation_angle(º) DOFH2O DOFO348 DOFO350a DOFO350s DOFO349a DOFO349s Total_Column_H2O(molec/m2) Total_Column_O3total(molec/m2) Total_Column_O348(molec/m2) Total_Column_O350a(molec/m2) Total_Column_O350s(molec/m2) TC_O349a(molec/m2) Total_Column_O349s(molec/m2) 
O3_iTY_1 160915 171449 6467.718 736588.718623 0.003014 628.576994 6566.120000 6.000000 24.532123 1.000000 4.024000 1.212000 1.289000 0.150700 0.212900 2.45340e+026 7.73299e+022 7.72550e+022 8.93270e+022 8.63360e+022 8.68380e+022 8.50360e+022 
O3_iTY_1 160915 172443 6467.725 736588.725498 0.003068 695.778376 6644.351000 6.000000 22.388115 1.000000 4.020000 1.236000 1.320000 0.163000 0.227900 2.47810e+026 7.73012e+022 7.72270e+022 8.91760e+022 8.62460e+022 8.68190e+022 8.47650e+022 
O3_iTY_1 160915 173436 6467.732 736588.732361 0.004232 656.267068 7967.018000 7.000000 20.240097 1.000000 3.728000 1.133000 1.208000 0.130700 0.185300 2.65560e+026 8.24089e+022 8.23610e+022 9.04410e+022 8.63690e+022 9.11180e+022 8.93690e+022 
O3_iTY_1 160915 181409 6467.760 736588.759826 0.003986 597.490022 8066.058000 6.000000 11.598174 1.000000 3.759000 1.338000 1.464000 0.217700 0.293200 2.58810e+026 7.72953e+022 7.72210e+022 8.93450e+022 8.56320e+022 8.75090e+022 8.49940e+022 
O3_iTY_1 160915 182403 6467.767 736588.766701 0.004283 466.206518 8392.656000 6.000000 9.432394 1.000000 3.661000 1.359000 1.504000 0.228700 0.307000 2.55200e+026 7.70201e+022 7.69460e+022 8.90460e+022 8.53280e+022 8.72140e+022 8.48110e+022 
O3_iTY_1 160915 183356 6467.773 736588.773565 0.004678 560.297312 8698.485000 6.000000 7.274635 1.000000 3.534000 1.372000 1.544000 0.234400 0.313800 2.47300e+026 7.68997e+022 7.68250e+022 8.90520e+022 8.53010e+022 8.70270e+022 8.45640e+022 
O3_iTY_1 160916 084124 6468.362 736589.362083 0.003002 755.413111 6603.267000 6.000000 23.246979 1.000000 4.044000 1.226000 1.308000 0.159300 0.223300 2.55650e+026 7.77951e+022 7.77230e+022 8.95510e+022 8.58880e+022 8.74070e+022 8.53780e+022 
O3_iTY_1 160916 090718 6468.380 736589.380069 0.002785 706.424720 6199.141000 6.000000 28.812118 1.000000 4.098000 1.181000 1.255000 0.136600 0.193600 2.70640e+026 7.77610e+022 7.76870e+022 8.96590e+022 8.66710e+022 8.71080e+022 8.50880e+022 
O3_iTY_1 160916 093303 6468.398 736589.397951 0.002647 583.818172 5926.416000 6.000000 34.254071 1.000000 4.119000 1.142000 1.211000 0.120700 0.171800 2.39300e+026 7.80930e+022 7.80190e+022 8.97490e+022 8.73670e+022 8.76780e+022 8.55740e+022 
O3_iTY_1 160916 095904 6468.416 736589.416019 0.002540 649.586073 5706.047000 5.000000 39.620394 1.000000 4.137000 1.112000 1.173000 0.106900 0.155000 2.25030e+026 7.84450e+022 7.83700e+022 9.03800e+022 8.76550e+022 8.78520e+022 8.62460e+022 
O3_iTY_1 160916 102456 6468.433 736589.433981 0.002423 640.453803 5476.629000 5.000000 44.767274 1.000000 4.166000 1.093000 1.150000 0.099840 0.144700 1.84110e+026 7.87955e+022 7.87210e+022 9.06980e+022 8.79460e+022 8.80930e+022 8.62620e+022 
O3_iTY_1 160916 105043 6468.451 736589.451887 0.002345 768.394915 5334.510000 5.000000 49.630540 1.000000 4.165000 1.075000 1.129000 0.093010 0.136700 1.69040e+026 7.89053e+022 7.88310e+022 9.08010e+022 8.79970e+022 8.79880e+022 8.65870e+022 
O3_iTY_1 160916 111631 6468.469 736589.469803 0.002316 743.516584 5282.510000 5.000000 54.114507 1.000000 4.161000 1.055000 1.107000 0.085330 0.125900 1.63790e+026 7.88361e+022 7.87600e+022 9.10070e+022 8.83820e+022 8.77230e+022 8.63620e+022 
O3_iTY_1 160916 120925 6468.506 736589.506539 0.002260 760.538097 5156.222000 5.000000 61.332630 1.000000 4.163000 1.030000 1.080000 0.078110 0.116400 1.94750e+026 7.86378e+022 7.85630e+022 9.05720e+022 8.80380e+022 8.73740e+022 8.62740e+022 
O3_iTY_1 160916 125748 6468.540 736589.540139 0.002254 699.395559 5127.260000 5.000000 64.042147 1.000000 4.150000 1.021000 1.070000 0.075240 0.113400 2.10310e+026 7.84053e+022 7.83300e+022 9.04050e+022 8.80560e+022 8.67670e+022 8.60900e+022 
O3_iTY_1 160916 151422 6468.635 736589.634977 0.002378 631.470415 5391.613000 6.000000 48.876527 1.000000 4.166000 1.075000 1.127000 0.092230 0.135400 2.03280e+026 7.82038e+022 7.81260e+022 9.07770e+022 8.77220e+022 8.71990e+022 8.58050e+022 
O3_iTY_1 160916 153410 6468.649 736589.648727 0.002405 740.726192 5448.746000 6.000000 45.128810 1.000000 4.169000 1.094000 1.150000 0.098810 0.145700 2.03370e+026 7.79969e+022 7.79200e+022 9.03000e+022 8.76420e+022 8.68560e+022 8.57260e+022 
O3_iTY_1 160916 154403 6468.656 736589.655590 0.002427 692.955955 5491.411000 5.000000 43.195078 1.000000 4.169000 1.104000 1.163000 0.102500 0.148800 1.77740e+026 7.79570e+022 7.78810e+022 9.00760e+022 8.75860e+022 8.68360e+022 8.51680e+022 
O3_iTY_1 160916 155355 6468.662 736589.662442 0.002497 733.179779 5651.874000 5.000000 41.229832 1.000000 4.151000 1.107000 1.163000 0.103800 0.151500 1.89270e+026 7.78518e+022 7.77750e+022 9.02210e+022 8.72700e+022 8.69300e+022 8.54980e+022 
O3_iTY_1 160916 160348 6468.669 736589.669306 0.002555 729.154775 5784.033000 5.000000 39.231356 1.000000 4.136000 1.114000 1.174000 0.105400 0.153700 1.83780e+026 7.77243e+022 7.76460e+022 9.03240e+022 8.74980e+022 8.66130e+022 8.52410e+022 
O3_iTY_1 160916 161342 6468.676 736589.676181 0.002594 728.799462 5861.843000 5.000000 37.202512 1.000000 4.135000 1.124000 1.188000 0.110300 0.161100 1.72200e+026 7.79440e+022 7.78680e+022 9.00250e+022 8.75850e+022 8.68470e+022 8.55690e+022 
O3_iTY_1 160916 162336 6468.683 736589.683056 0.002647 682.360746 5975.584000 6.000000 35.150177 1.000000 4.125000 1.135000 1.197000 0.115500 0.167200 1.75400e+026 7.78817e+022 7.78060e+022 9.00520e+022 8.70900e+022 8.70580e+022 8.55340e+022 
O3_iTY_1 160916 163329 6468.690 736589.689919 0.002638 656.035689 5953.252000 6.000000 33.081227 1.000000 4.140000 1.157000 1.224000 0.127700 0.181300 1.55680e+026 7.80205e+022 7.79450e+022 9.00300e+022 8.72890e+022 8.77470e+022 8.55750e+022 
O3_iTY_1 160916 164324 6468.697 736589.696806 0.002698 696.568580 6060.771000 6.000000 30.987639 1.000000 4.133000 1.173000 1.242000 0.133600 0.189200 1.54590e+026 7.78047e+022 7.77280e+022 9.00810e+022 8.70460e+022 8.76020e+022 8.54410e+022 
O3_iTY_1 160916 165317 6468.703 736589.703669 0.002795 682.795171 6281.485000 6.000000 28.885457 1.000000 4.104000 1.180000 1.253000 0.136800 0.194000 1.59290e+026 7.79029e+022 7.78280e+022 8.98420e+022 8.70500e+022 8.74770e+022 8.54740e+022 
O3_iTY_1 160916 170311 6468.710 736589.710544 0.002872 668.028106 6428.794000 6.000000 26.766659 1.000000 4.093000 1.197000 1.272000 0.142400 0.202200 1.72820e+026 7.76716e+022 7.75960e+022 8.98590e+022 8.67070e+022 8.70960e+022 8.51970e+022 
O3_iTY_1 160916 171304 6468.717 736589.717407 0.002989 790.073007 6660.589000 6.000000 24.639840 1.000000 4.058000 1.207000 1.286000 0.150200 0.211300 1.69490e+026 7.76634e+022 7.75880e+022 8.97670e+022 8.65860e+022 8.75410e+022 8.54300e+022 
O3_iTY_1 160916 172258 6468.724 736589.724282 0.003091 714.730318 6860.109000 6.000000 22.499269 1.000000 4.031000 1.224000 1.310000 0.158900 0.221400 1.73450e+026 7.76537e+022 7.75800e+022 8.93860e+022 8.65070e+022 8.75130e+022 8.51690e+022 
O3_iTY_1 160916 175238 6468.744 736589.744884 0.003510 725.862459 7683.281000 6.000000 16.042035 1.000000 3.915000 1.285000 1.391000 0.188600 0.260500 1.62310e+026 7.75805e+022 7.75050e+022 8.97380e+022 8.63440e+022 8.75920e+022 8.54500e+022 
O3_iTY_1 160916 181225 6468.758 736589.758623 0.003965 715.432547 8482.624000 6.000000 11.716203 1.000000 3.770000 1.326000 1.457000 0.211500 0.285200 1.66680e+026 7.74498e+022 7.73750e+022 8.95320e+022 8.59110e+022 8.78580e+022 8.50350e+022 
O3_iTY_1 160916 182218 6468.765 736589.765486 0.004219 599.391357 8853.325000 6.000000 9.554434 1.000000 3.679000 1.350000 1.500000 0.225400 0.300600 1.71280e+026 7.74522e+022 7.73780e+022 8.94210e+022 8.57710e+022 8.80940e+022 8.50240e+022 
O3_iTY_1 160916 183212 6468.772 736589.772361 0.004593 522.460255 9254.094000 6.000000 7.393810 1.000000 3.550000 1.365000 1.543000 0.230400 0.308500 1.84770e+026 7.74132e+022 7.73390e+022 8.94040e+022 8.57400e+022 8.79150e+022 8.50890e+022 
O3_iTY_1 160916 184204 6468.779 736589.779213 0.004877 434.802414 9385.234000 6.000000 5.250948 1.000000 3.416000 1.383000 1.603000 0.232400 0.315700 1.78630e+026 7.72515e+022 7.71770e+022 8.94560e+022 8.54040e+022 8.75020e+022 8.49020e+022 
O3_iTY_1 160920 085348 6472.370 736593.370694 0.002868 638.923813 6563.768000 6.000000 25.433386 1.000000 4.065000 1.195000 1.267000 0.146200 0.207900 6.88020e+025 7.44569e+022 7.43860e+022 8.59900e+022 8.25320e+022 8.37240e+022 8.18860e+022 
O3_iTY_1 160920 090340 6472.377 736593.377546 0.002783 741.247502 6390.770000 6.000000 27.533276 1.000000 4.079000 1.177000 1.246000 0.140100 0.197000 6.39890e+025 7.43793e+022 7.43080e+022 8.59320e+022 8.25760e+022 8.39150e+022 8.14620e+022 
O3_iTY_1 160920 091333 6472.384 736593.384410 0.002764 724.171263 6337.396000 6.000000 29.622853 1.000000 4.075000 1.157000 1.222000 0.127700 0.183200 9.62250e+025 7.43448e+022 7.42730e+022 8.59860e+022 8.27940e+022 8.32940e+022 8.15390e+022 
